dispatch_number,date,time,address,location,location_detail,activity,activity_medium,disposition,details,details_text
22043907,2022-03-28,12:23:00 PM,N Dubuque St/Ridge Rd,,N Dubuque St/Ridge Rd ,TRAFFIC STOP,TRAFFIC STOP,TRAFFIC CITATION,N,
22043910,2022-03-28,12:25:00 PM,410 E WASHINGTON ST,IOWA CITY HUMAN RIGHTS COMM,410 E WASHINGTON ST ,PHONE REQUEST,PHONE REQUEST,COMPLETED,N,
22043914,2022-03-28,12:37:00 PM,410 E WASHINGTON ST,IOWA CITY HUMAN RIGHTS COMM,410 E WASHINGTON ST ,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,Field Initiated Activity created from Mobile
22043920,2022-03-28,12:49:00 PM,615 S Clinton St,,615 S Clinton St ,ALARM/VEHICLE,ALARM/VEHICLE,UNABLE TO LOCATE,Y,CAR ALARM HAS BEEN GOING OFF NEAR ABOUT 615 S CLINTON ST COMP THINKS
22043921,2022-03-28,12:49:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST ,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,"CAN^T FIND HIS AXE- HAVING IT IS A COPING SKILL, AND HE NEEDS IT"
22043924,2022-03-28,12:53:00 PM,320 E Washington St,ECUMENICAL TOWERS,320 E Washington St ,Z Falls,Z Falls,HANDLED BY OTHER AGENCY,Y,"MAIN FLOOR, FALL, HURT HELP"
22043925,2022-03-28,12:55:00 PM,1110 N Dubuque ST,MAYFLOWER HALL,1110 N Dubuque ST ,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,
22043927,2022-03-28,12:59:00 PM,1100 N Dubuque St,,1100 N Dubuque St ,TRAFFIC STOP,TRAFFIC STOP,TRAFFIC CITATION,N,
22043934,2022-03-28,1:04:00 PM,101 Hawk Ridge Dr,HAWKS RIDGE,101 Hawk Ridge Dr 1108,WELFARE CHECK,WELFARE CHECK,UNABLE TO CONTACT,Y,"RP IS PROP MNGR, THE MOTHER OF THE TENNENT HERE CALLED HER AND WANTS HER SON CHECKED ON, THINKING THAT HE IS SUICIDAL, DID NOT GIVE RP ANYTHING AS TO WHY SHE THINKS THAT"
22043936,2022-03-28,1:10:00 PM,1100 ARTHUR ST,,1100 ARTHUR ST L1,WELFARE CHECK,WELFARE CHECK,COMPLETED,Y,"MALE IS BED BOUND, TOLD STAFF AT THE ER HE HAS NO FOOD ONLY WATER AT HIS BED SIDE        HE DOES HAVE A HOME CARE AGENCY"
22043937,2022-03-28,1:13:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST ,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Field Initiated Activity created from Mobile
22043939,2022-03-28,1:13:00 PM,Haywood Dr/Laura Dr,,Haywood Dr/Laura Dr ,MVA/PROPERTY DAMAGE ACCIDENT,MVA/PROPERTY DAMAGE ACCIDENT,INCIDENT REPORT TAKEN,Y,BLACK SONATA VS SIL JEEP     
22043941,2022-03-28,1:23:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST ,PHONE REQUEST,PHONE REQUEST,COMPLETED,N,
22043948,2022-03-28,1:32:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST ,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,N,
22043949,2022-03-28,1:30:00 PM,2213 ARIZONA AVE,,2213 ARIZONA AVE ,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,INFORMATION,Y,COMP SEES A GOLD STREAK COMING THROUGH THE WALL AND IS CONCERNED THAT SOMEONE IS USING A LAZER BEAM AND THINKS SOMEONE IS ABUSING HER DOG WITH THIS AND CAN HEAR THEM LAUGHING.  REQ OFFICERS JUST CHECK THE ARE FOR PEOPLE WITH LAZER BEAMS IN THE AREA. DOESN^T NEED TO SPEAK WITH AN OFFICER
22043951,2022-03-28,1:41:00 PM,N Dodge St/Prairie du Chien Rd,,N Dodge St/Prairie du Chien Rd ,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,
22043952,2022-03-28,1:41:00 PM,1570 S 1st Ave,,1570 S 1st Ave D,BURGLARY/BUSINESS,BURGLARY/BUSINESS,PREVIOUS INCIDENT,Y,RPS BUSINESS WAS BROKEN INTO AND ITEMS TAKEN
22043953,2022-03-28,1:42:00 PM,919 Hwy 1 W,,919 Hwy 1 W ,THEFT,THEFT,INCIDENT REPORT TAKEN,Y,"RP ADV SHE LEFT HER WALLET AT THE REGISTER, A MALE TOOK HER WALLET AND TURNED IT IN AFTER TAKING HER CASH. WALMART SAYS SHE NEEDS A POLICE REPORT TO GET VIDEO, SHE IS WAITING FOR A OFFICER AT THE CUSTOMER SERVICE DESK"
22043955,2022-03-28,1:47:00 PM,55 Thistle Ct,,55 Thistle Ct ,TR/PARKING,TR/PARKING,WARNING ISSUED WRITTEN,Y,"OLD RED FORD F250 IL PLATES ACROSS FROM THIS ADDRESS, STREET STORAGE"
22043957,2022-03-28,1:48:00 PM,N Dubuque St/Kimball Rd,,N Dubuque St/Kimball Rd ,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,
22043958,2022-03-28,1:49:00 PM,1205 LAURA DR,FOREST VIEW TRAILER COURT,1205 LAURA DR 139,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,UNABLE TO LOCATE,Y,"RP CALLING FOR THE SUBJ WHO LIVES HER, DAUGHTER RAN AWAY"
22043963,2022-03-28,1:55:00 PM,1012 E Burlington ST,,1012 E Burlington ST ,911 HANGUP,911 HANGUP,UNABLE TO LOCATE,Y,"CHILD PLAYING WITH THE PHONE, SAID HE DOESN^T NEED HELP   PHASE 2 MAPS HERE"
22043964,2022-03-28,1:56:00 PM,1100 N Dubuque St,,1100 N Dubuque St ,TRAFFIC STOP,TRAFFIC STOP,TRAFFIC CITATION,N,
22043965,2022-03-28,1:59:00 PM,820 Cross Park AVE,,820 Cross Park AVE 216,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,CLOTHES AND BASKET TAKEN      AVAIL BY PHONE
22043966,2022-03-28,2:04:00 PM,424 Samoa Dr,,424 Samoa Dr ,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,N,
22043968,2022-03-28,2:09:00 PM,1100 N Dubuque St,,1100 N Dubuque St ,TRAFFIC STOP,TRAFFIC STOP,TRAFFIC CITATION,N,
22043969,2022-03-28,2:09:00 PM,335 E Iowa Ave,,335 E Iowa Ave ,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Field Initiated Activity created from Mobile
22043973,2022-03-28,2:18:00 PM,820 Cross Park AVE,,820 Cross Park AVE ,Z Breathing Problems,Z Breathing Problems,HANDLED BY OTHER AGENCY,Y,MALE IN LOBBY
22043977,2022-03-28,2:20:00 PM,3661 Rochester Ave,IOWA CITY REHAB AND HEALTHCARE,3661 Rochester Ave ,Z Psychiatric/Abnormal Behavior/Suicide Attempt,Z Psychiatric/Abnormal Behavior/Suicide Attempt,PT TRANSPORTED,N,
22043978,2022-03-28,2:28:00 PM,1110 N Dubuque ST,MAYFLOWER HALL,1110 N Dubuque ST ,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,
22043980,2022-03-28,2:32:00 PM,1000 N Dubuque St,,1000 N Dubuque St ,OUT WITH SUBJ,OUT WITH SUBJ,WARNING ISSUED VERBAL,N,"
"
22043982,2022-03-28,2:36:00 PM,1110 N Dubuque ST,MAYFLOWER HALL,1110 N Dubuque ST ,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,
22043983,2022-03-28,2:35:00 PM,1231 Emily Ct,,1231 Emily Ct ,PUBLIC ASSIST,PUBLIC ASSIST,INFORMATION,Y,"LANG BAR, WANTS TO TALK TO OFFICER IN PERSON, SAYS SHE HAS SOME SORT OF PROBLEM WITH A CAR, BUT COULD NOT EXPLIAN IT TO ME. "
22043984,2022-03-28,2:43:00 PM,1110 N Dubuque ST,MAYFLOWER HALL,1110 N Dubuque ST ,TRAFFIC STOP,TRAFFIC STOP,TRAFFIC CITATION,N,"
"
22043994,2022-03-28,3:00:00 PM,1015 Hwy 1 W,DAIRY QUEEN,1015 Hwy 1 W ,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,"UNWANTED CONTACT, NOT SURE IF IT IS HARASSMENT OR STALKING, REQ A CALL TO DISCUSS OPTIONS"
22043996,2022-03-28,3:04:00 PM,2216 N Dodge St,TRAVEL LODGE,2216 N Dodge St ,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,INCIDENT REPORT TAKEN,Y,VERBAL IN THE LOBBY
22043998,2022-03-28,3:08:00 PM,175 E Harrison ST,HARRISON STREET RAMP,175 E Harrison ST ,PUBLIC ASSIST,PUBLIC ASSIST,UNABLE TO LOCATE,Y,Linked to CFS#: 22040621
22043999,2022-03-28,3:08:00 PM,1103 Wylde Green Rd,,1103 Wylde Green Rd ,ANIMAL/GENERAL,ANIMAL/GENERAL,COMPLETED,Y,"ACROSS THE STREET FROM HERE, RP^S CAT WAS HIT BY A VEH AND IS STUCK UNDER THE SHED AND WON^T COME OUT"
22044005,2022-03-28,3:22:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST ,PUBLIC ASSIST,PUBLIC ASSIST,REF TO CITY DEPARTMENT,N,
22044007,2022-03-28,3:27:00 PM,N Capitol St/Market St,,N Capitol St/Market St ,911 HANGUP,911 HANGUP,INFORMATION,Y,PHASE 2 // DRIVING AND TALKING
22044009,2022-03-28,3:36:00 PM,303 4th Ave,,303 4th Ave ,911 HANGUP,911 HANGUP,INFORMATION,Y,"PHASE 2 // DRIVING // ANSWERED ON CALLBACK, ADV NO ISSUES AND ACCIDENTAL DIAL"
22044016,2022-03-28,3:49:00 PM,3320 S Jamie Ln,,3320 S Jamie Ln ,TR/PARKING,TR/PARKING,REF TO OTHER AGENCY,N,
22044018,2022-03-28,3:50:00 PM,201 E Burlington ST,,201 E Burlington ST ,PUBLIC ASSIST,PUBLIC ASSIST,UNFOUNDED,Y,"MOPED STOLEN FROM GARAGE // WHI CHICAGO SCOOTER MOPED, UNK PLATE INFO // HAPPENED SOMETIME LAST NIGHT OR THIS MORNING"
22044019,2022-03-28,3:54:00 PM,201 S Clinton St,OLD CAPITOL TOWN CENTER,201 S Clinton St ,TRESPASS,TRESPASS,COMPLETED,Y,2 BM BY BUS SIDE CAUSING ISSUES AND PREV TRESPASSED
22044021,2022-03-28,3:55:00 PM,S Clinton St/W Harrison St,,S Clinton St/W Harrison St ,911 HANGUP,911 HANGUP,INFORMATION,Y,PHASE 2 // WIND
22044025,2022-03-28,4:12:00 PM,2115 Plaen View Dr,,2115 Plaen View Dr ,TR/PARKING,TR/PARKING,COMPLETED,N,
22044028,2022-03-28,4:17:00 PM,2105 J  St,,2105 J  St ,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,Y,Field Initiated Activity created from Mobile
22044029,2022-03-28,4:22:00 PM,731 S Riverside DR,KUM & GO,731 S Riverside DR ,DIST/DOMESTIC,DIST/DOMESTIC,ARREST MADE,Y,SAYING SHE IS GOING TO KILL EVERYONE
22044030,2022-03-28,4:24:00 PM,2401 HWY 6 E,THE QUARTERS,2401 HWY 6 E ,PHONE REQUEST,PHONE REQUEST,INCIDENT REPORT TAKEN,N,
22044038,2022-03-28,4:35:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST ,PHONE REQUEST,PHONE REQUEST,INFORMATION,Y,FEMALE LIVES IN WB AND DRIVES IN IOWA CITY- NO REGISTRATION OR DL
22044043,2022-03-28,4:41:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST ,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,21
22044049,2022-03-28,4:46:00 PM,22 S Clinton St,AIRLINER,22 S Clinton St ,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,"SON WAS CITED FOR BEING IN A BAR WHILE UNDERAGE AFTER 2200, HAS QUESTIONS FOR ABOUT THE SITUATION"
22044051,2022-03-28,4:53:00 PM,851 HWY 6 E,CROWDED CLOSET,851 HWY 6 E ,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,
22044056,2022-03-28,4:58:00 PM,1801 S RIVERSIDE DR,IOWA CITY AIRPORT,1801 S RIVERSIDE DR ,TRESPASS,TRESPASS,WARNING ISSUED VERBAL,Y,"W/F GREEN JACKET WITH A MENARDS SHOPPING BAG WALKED ON THE TARMAC // STAFF CHASED HER OFF, SHE IS NOW ON THE BACK SIDE OF THE P&G BUILDING LOOKING AT THE AIRPORT"
22044057,2022-03-28,4:59:00 PM,Hwy 6 W/Hawkins Dr,,Hwy 6 W/Hawkins Dr ,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,PREVIOUS INCIDENT,Y,WB RED SUV STALLED
22044081,2022-03-28,5:42:00 PM,821 S Dodge St,,821 S Dodge St ,DIST/NOISE GENERAL,DIST/NOISE GENERAL,UNABLE TO CONTACT,N,
22044083,2022-03-28,5:56:00 PM,300 Southgate Ave,GUIDELINK CENTER,300 Southgate Ave ,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,WAS TAKEN DOWN HERE BY AN OFFICER AND HAS BEEN RELEASED // WANTS AN OFFICER TO GIVE HIM A RIDE BACK HOME TO 400 VAN BUREN BECAUSE HE DOESN^T BELIEVE HE CAN MAKE IT BACK ON HIS OWN
22044087,2022-03-28,6:07:00 PM,Hwy 6 E/Keokuk St,,Hwy 6 E/Keokuk St ,WELFARE CHECK,WELFARE CHECK,COMPLETED,Y,MALE CRAWLING EASTBOUND ON THE SIDEWALK ON THE SOUTH SIDE // B/M BLU COAT
22044096,2022-03-28,6:37:00 PM,1108 E Burlington St,,1108 E Burlington St ,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,CIVIL,Y,ARGUMENT WITH BF AND SAID HE WOULD DESTROY HER THINGS IF SHE DIDNT COME BACK- PUNCHED HOLE IN HER DOOR ALSO-PHYS IN PAST
22044099,2022-03-28,6:43:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST ,PUBLIC ASSIST,PUBLIC ASSIST,INCIDENT REPORT TAKEN,N,
22044100,2022-03-28,6:48:00 PM,Keswick Dr/Westgate St,,Keswick Dr/Westgate St ,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,CANCEL BY COMPL,Y,SOMEBODY STOLE ON OF RPS AIRPODS- MAPPING TO CASEYS OFF 5TH ST AND SAW SUBJ WHO CAME IN- RP IN BLU KIA SPORTAGE
22044101,2022-03-28,6:48:00 PM,W Burlington St/S Riverside Dr,,W Burlington St/S Riverside Dr ,WELFARE CHECK,WELFARE CHECK,REF TO OTHER AGENCY,Y,"WB ON BURLINGTON, JUV JUST WALKED BY RP COMPLETLY WET WITH ONE SHOE"
22044102,2022-03-28,6:47:00 PM,300 Kirkwood Ave,KIRKWOOD LIQUOR & TOBACCO,300 Kirkwood Ave ,PHONE REQUEST,PHONE REQUEST,INFORMATION,Y,MALE SELLING VEH AND MAY HAVE BEEN JUMPING THE TITLE- OWNER OF SALAD AUTO AND SEEMED SHADY- CALLER WANTS TO ASK A FEW QUESTIONS
22044103,2022-03-28,6:50:00 PM,912 S DUBUQUE ST,,912 S DUBUQUE ST ,ANIMAL/GENERAL,ANIMAL/GENERAL,UNABLE TO LOCATE,Y,STRAY BLK CAT WITH AN EXTRA ARM IN THE BACK YARD
22044104,2022-03-28,6:51:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST ,HARASSMENT/OBSCENE PHONE,HARASSMENT/OBSCENE PHONE,INCIDENT REPORT TAKEN,N,
22044109,2022-03-28,6:56:00 PM,3500 Lower West Branch Rd,BICKFORD COTTAGE,3500 Lower West Branch Rd ,Z Falls,Z Falls,HANDLED BY OTHER AGENCY,Y,LOBBY
22044110,2022-03-28,6:56:00 PM,1007 N Summit St,,1007 N Summit St ,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,UNABLE TO LOCATE,Y,"SCERAMING FROM HERE, ONE MALE LEFT, ONE MALE WENT INSIDE, THINKS THERE ARE THREE PEOPLE INSIDE"
22044114,2022-03-28,7:00:00 PM,1007 N Summit St,,1007 N Summit St ,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,PREVIOUS INCIDENT,Y,Linked to CFS#: 22044110
22044117,2022-03-28,7:15:00 PM,E College St/S Clinton St,,E College St/S Clinton St ,MVA/PROPERTY DAMAGE ACCIDENT,MVA/PROPERTY DAMAGE ACCIDENT,INCIDENT REPORT TAKEN,Y,IN A WHITE RAM VS WHITE MAZDA
22044118,2022-03-28,7:28:00 PM,201 S Clinton St,CHINA STAR,201 S Clinton St ,SOLICITOR,SOLICITOR,UNABLE TO LOCATE,Y,"B/M GRE WINDBREAKER PANHANDLING, WON^T LEAVE"
22044121,2022-03-28,7:41:00 PM,2105 J St,,2105 J St ,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,Y,Field Initiated Activity created from Mobile
22044124,2022-03-28,7:46:00 PM,E Court St/S Dubuque St,,E Court St/S Dubuque St ,Z Psychiatric/Abnormal Behavior/Suicide Attempt,Z Psychiatric/Abnormal Behavior/Suicide Attempt,COMPLETED,Y,EVENT 6
22044192,2022-03-29,12:22:00 AM,500 S LINN ST,,500 S LINN ST ,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,N,
22044195,2022-03-29,12:30:00 AM,1539 Langenberg Ave,,1539 Langenberg Ave ,Z Unknown Problem,Z Unknown Problem,HANDLED BY OTHER AGENCY,Y,"NO RESPONSE, REACHED HIS SON WHO ASKED FOR AN AMB TO RESPONDE "
22044204,2022-03-29,1:28:00 AM,300 Southgate Ave,GUIDELINK CENTER,300 Southgate Ave ,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,SOBERING CENTER- REQ AMB CODE TO FOR TRANSPORT TO THE U FOR DETOX
22044205,2022-03-29,1:29:00 AM,416 S Dodge St,,416 S Dodge St ,DIST/NOISE GENERAL,DIST/NOISE GENERAL,UNFOUNDED,Y,RP WAS RIDING HIS BIKE BY THE ADDRESS AND HEARD A LOT OF NOISE AND THOUGHT SOMEONE SHOULD CHECK IT OUT- HE THOUGHT IT WAS PROBABLY LOUD MUSIC BUT COULDN^T BE MORE SPECIFIC
22044206,2022-03-29,1:33:00 AM,Church St/N Dubuque St,,Church St/N Dubuque St ,TR/ROAD HAZARD,TR/ROAD HAZARD,COMPLETED,Y,"ON DUBUQUE ST CROSSING CHURCH, TOWARDS DOWNTOWN, POSSIBLY A BRICK"
22044207,2022-03-29,1:37:00 AM,Bowery St/Johnson St,,Bowery St/Johnson St ,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,N,
22044208,2022-03-29,1:46:00 AM,E Burlington St/S Dubuque St,,E Burlington St/S Dubuque St ,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,
22044212,2022-03-29,1:58:00 AM,323 E BURLINGTON ST,KUM & GO,323 E BURLINGTON ST ,Z Psychiatric/Abnormal Behavior/Suicide Attempt,Z Psychiatric/Abnormal Behavior/Suicide Attempt,PT TRANSPORTED,Y,"EVENT 6, STAGE"
22044219,2022-03-29,2:35:00 AM,2303 MUSCATINE AVE,KUM & GO,2303 MUSCATINE AVE ,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,
22044222,2022-03-29,3:25:00 AM,1907 Keokuk St,KWIK STAR,1907 Keokuk St ,OUT WITH SUBJ,OUT WITH SUBJ,COMPLETED,N,
22044226,2022-03-29,4:15:00 AM,350 Dublin Dr,MELROSE MEADOWS,350 Dublin Dr 3006,Z Unknown Problem,Z Unknown Problem,COMPLETED,Y,REF NUMB 69202- ALARM NO CONTACT MADE - ASKING FOR INTERNAL AND EXTERNAL BUILDING CHECK-  4424 KEYPAD AFTER HOURS- JEAN COX 92YOA FEMALE
22044235,2022-03-29,5:38:00 AM,1060 Scott Park DR,REGENCY HEIGHTS,1060 Scott Park DR 309,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,INFORMATION,Y,"3RD FLOOR- 1ST APT TO THE RIGHT- RP THINKS IT IS POSSIBLY APT 309- THE NEIGHBOR IN APT 309 IS ""HURTING PEOPLE WITH A MUTED SAW"""
22044239,2022-03-29,5:51:00 AM,4435 Melrose Ave,,4435 Melrose Ave 2,Z Falls,Z Falls,HANDLED BY OTHER AGENCY,Y,EVENT 6
22044241,2022-03-29,6:01:00 AM,112 E Bloomington ST,,112 E Bloomington ST ,911 HANGUP,911 HANGUP,INFORMATION,Y,OPEN LINE- NO ONE SPEAKING
22044242,2022-03-29,6:14:00 AM,1062 Chamberlain Dr,,1062 Chamberlain Dr ,911 HANGUP,911 HANGUP,COMPLETED,Y,OPEN LINE- VOICEMAIL ON CALLBACK
22044249,2022-03-29,7:22:00 AM,4540 Melrose Ave,,4540 Melrose Ave ,TRAINING,TRAINING,COMPLETED,Y,Field Initiated Activity created from Mobile
22044255,2022-03-29,7:27:00 AM,3320 S Jamie Ln,,3320 S Jamie Ln ,TR/PARKING,TR/PARKING,UNABLE TO LOCATE,Y,Field Initiated Activity created from Mobile
22044259,2022-03-29,7:40:00 AM,110 S 1st Ave,,110 S 1st Ave ,ANIMAL/CARCASS,ANIMAL/CARCASS,REF TO CITY DEPARTMENT,N,
22044262,2022-03-29,7:47:00 AM,122 Notting Hill Ln,,122 Notting Hill Ln ,Z Breathing Problems,Z Breathing Problems,HANDLED BY OTHER AGENCY,Y,EVENT 6
22044263,2022-03-29,7:46:00 AM,2213 Arizona Ave,,2213 Arizona Ave ,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,COMPLETED,Y,COMP WANTS AND OFFICER TO RESPOND TO HER RES SO SHE CAN SPEAK WITH HIM/HER
22044264,2022-03-29,7:47:00 AM,429 Southgate Ave,SHELTER HOUSE,429 Southgate Ave ,WELFARE CHECK,WELFARE CHECK,CANCEL BY COMPL,Y,CLIENT CALLING FOR ANOTHER CLIENT  WANTING CRISIS MOBILE UNIT  DISPATCHED NOT AN OFFICER 
22044267,2022-03-29,8:02:00 AM,429 Southgate Ave,SHELTER HOUSE,429 Southgate Ave ,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,COMPLETED,Y,RP IS STANDING BY WITH SUBJ ON SCENE
22044268,2022-03-29,8:13:00 AM,1800 N Dubuque Rd,,1800 N Dubuque Rd ,TR/PARKING,TR/PARKING,PARKING TICKET,Y,Field Initiated Activity created from Mobile
22044269,2022-03-29,8:13:00 AM,Mormon Trek Blvd/Melrose Ave,,Mormon Trek Blvd/Melrose Ave ,MVA/PROPERTY DAMAGE ACCIDENT,MVA/PROPERTY DAMAGE ACCIDENT,INCIDENT REPORT TAKEN,N,
22044270,2022-03-29,8:21:00 AM,2351 S Scott Blvd,KNUTSON CONSTRUCTION,2351 S Scott Blvd ,ALARM/PANIC/HOLDUP,ALARM/PANIC/HOLDUP,CANCEL ENROUTE ALARM,N,
22044271,2022-03-29,8:22:00 AM,730 E Iowa Ave,,730 E Iowa Ave ,TR/PARKING,TR/PARKING,PARKING TICKET,N,
22044272,2022-03-29,8:23:00 AM,40 Lincoln Ave,,40 Lincoln Ave ,TR/PARKING,TR/PARKING,PARKING TICKET,Y,Field Initiated Activity created from Mobile
22044276,2022-03-29,8:33:00 AM,634 Westgate St,,634 Westgate St ,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,REF NCO
22044285,2022-03-29,8:47:00 AM,417 S Clinton St,JCCH,417 S Clinton St ,COURT,COURT,COMPLETED,N,
22044286,2022-03-29,8:49:00 AM,731 S Riverside DR,KUM & GO,731 S Riverside DR ,PROPERTY/FOUND,PROPERTY/FOUND,COMPLETED,N,
22044287,2022-03-29,8:50:00 AM,3890 Napoleon Ln,ICFD TRAINING,3890 Napoleon Ln ,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Field Initiated Activity created from Mobile
22044289,2022-03-29,9:02:00 AM,2325 MAYFIELD RD,,2325 MAYFIELD RD ,ANIMAL/CALL GENERAL,ANIMAL/CALL GENERAL,WARNING ISSUED WRITTEN,N,
22044297,2022-03-29,9:16:00 AM,417 S Clinton St,,417 S Clinton St ,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Field Initiated Activity created from Mobile
22044300,2022-03-29,9:22:00 AM,925 Hwy 6 E,IOWA CITY POST OFFICE(NEW),925 Hwy 6 E ,PROPERTY/FOUND,PROPERTY/FOUND,UNABLE TO LOCATE,N,
22044306,2022-03-29,9:44:00 AM,1816 LOWER MUSCATINE RD,KIRKWOOD COMMUNITY COLLEGE,1816 LOWER MUSCATINE RD ,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,BROADCAST,N,
22044308,2022-03-29,9:54:00 AM,2600 Wayne Ave,,2600 Wayne Ave ,MISSING/JUVENILE,MISSING/JUVENILE,INCIDENT REPORT TAKEN,N,
22044315,2022-03-29,10:14:00 AM,1275 HWY 1 W,ENTERPRISE RENT A CAR,1275 HWY 1 W ,911 HANGUP,911 HANGUP,INFORMATION,Y,ALLEY STAYED ON THE LINE AND ADV ACCIDENTAL
22044320,2022-03-29,10:25:00 AM,1201 N Dubuque St,,1201 N Dubuque St ,TR/PARKING,TR/PARKING,PARKING TICKET,Y,Field Initiated Activity created from Mobile
22044323,2022-03-29,10:32:00 AM,729 N Dubuque St,PHI DELTA THETA HOUSE,729 N Dubuque St ,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,N,
22044330,2022-03-29,10:47:00 AM,100 E College St,,100 E College St ,FOOT PATROL,FOOT PATROL,COMPLETED,Y,Field Initiated Activity created from Mobile
22044331,2022-03-29,10:48:00 AM,957 Dover St,,957 Dover St ,ANIMAL/GENERAL,ANIMAL/GENERAL,WARNING ISSUED WRITTEN,Y,Field Initiated Activity created from Mobile
22044334,2022-03-29,10:50:00 AM,2620 MUSCATINE AVE,ARC OF SE IOWA,2620 MUSCATINE AVE ,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,VEHICLE TOWED,Y,SILVER HONDA ACCORD  CALLERS BRAKES WENT OUT AND CALLER IN MIDDLE OF THE STREET  CAR TURNED OFF AND CALLER HAS FOOT ON THE BRAKES BUT IT KEEPS MOVING
22044335,2022-03-29,10:53:00 AM,1700 S 1st Ave,,1700 S 1st Ave ,911 HANGUP,911 HANGUP,INFORMATION,Y,EASTDALE MALL  CALLER WAS GIVING PHONE NUMBER AND NOW OPEN LINE WITH STATIC
22044336,2022-03-29,10:58:00 AM,959 Dover St,,959 Dover St ,ANIMAL/GENERAL,ANIMAL/GENERAL,WARNING ISSUED WRITTEN,Y,Field Initiated Activity created from Mobile
22044340,2022-03-29,11:12:00 AM,209 E Washington St,NORTH STAR FINANCIAL GROUP,209 E Washington St ,FIRE RESPONSE LAW,FIRE RESPONSE LAW,HANDLED BY OTHER AGENCY,Y,ELEVATOR IN BUILDING BEEN BEEPING  UNK IF ANYONE IN IT
22044342,2022-03-29,11:16:00 AM,1903 Taylor Dr,,1903 Taylor Dr ,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,N,
